"Site_no","date","ParamLow","ParamHigh","Parameter","Uncen"
"01122610",1996-07-11,1.74509786693446,1.74509786693446,"Larson",1
"01122610",1996-07-11,1.85424243265503,1.85424243265503,"CSMR",1
"01122610",1996-08-06,1.88350528205624,1.88350528205624,"Larson",1
"01122610",1996-08-06,1.73062627047802,1.73062627047802,"CSMR",1
"01122610",1996-09-10,1.94324775854127,1.94324775854127,"Larson",1
"01122610",1996-09-10,1.66881818938952,1.66881818938952,"CSMR",1
"01122610",1996-10-23,2.56189240244963,2.56189240244963,"Larson",1
"01122610",1996-10-23,1.36407747654448,1.36407747654448,"CSMR",1
"01122610",1996-11-12,2.33671412267882,2.33671412267882,"Larson",1
"01122610",1996-11-12,1.51710744489957,1.51710744489957,"CSMR",1
"01122610",1996-12-09,3.54258351104757,3.54258351104757,"Larson",1
"01122610",1996-12-09,1.60206546181394,1.60206546181394,"CSMR",1
"01122610",1997-01-16,2.98183933294088,2.98183933294088,"Larson",1
"01122610",1997-01-16,1.46021591571583,1.46021591571583,"CSMR",1
"01122610",1997-03-21,3.05164670702527,3.05164670702527,"Larson",1
"01122610",1997-03-21,1.49618182496992,1.49618182496992,"CSMR",1
"01122610",1997-04-16,3.33593429748798,3.33593429748798,"Larson",1
"01122610",1997-04-16,1.43892290354831,1.43892290354831,"CSMR",1
"01122610",1997-05-22,2.30262566586498,2.30262566586498,"Larson",1
"01122610",1997-05-22,1.62850218560625,1.62850218560625,"CSMR",1
"01122610",1997-06-17,1.93280348095365,1.93280348095365,"Larson",1
"01122610",1997-06-17,1.58311191586205,1.58311191586205,"CSMR",1
"01122610",1997-07-07,1.76295078669145,1.76295078669145,"Larson",1
"01122610",1997-07-07,1.76822899458816,1.76822899458816,"CSMR",1
"01122610",1997-08-22,1.9169577240737,1.9169577240737,"Larson",1
"01122610",1997-08-22,1.46794946342276,1.46794946342276,"CSMR",1
"01122610",1997-09-19,1.9838861688325,1.9838861688325,"Larson",1
"01122610",1997-09-19,1.67555944034795,1.67555944034795,"CSMR",1
"01122610",1997-10-16,1.6145814521774,1.6145814521774,"Larson",1
"01122610",1997-10-16,1.75841121397554,1.75841121397554,"CSMR",1
"01122610",1997-11-20,2.71085198376786,2.71085198376786,"Larson",1
"01122610",1997-11-20,1.53438090682297,1.53438090682297,"CSMR",1
"01122610",1997-12-04,3.00740084378176,3.00740084378176,"Larson",1
"01122610",1997-12-04,1.26084131716779,1.26084131716779,"CSMR",1
"01122610",1998-01-08,3.44914850104997,3.44914850104997,"Larson",1
